nomcoor,municipi,lloc,estil,epoca,lat,lon,prot,idprot,imatge
Casal de Balenyà,Balenyà,,,,41.832390,2.219090,BCIN,942-MH,
Castell del Brull,El Brull,Nucli de l'església de Sant Martí,Romànic,"X-XIII, XIX",41.816790,2.304370,BCIN,744-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Restes_castell_El_Brull_IMG_1058.JPG/218px-Restes_castell_El_Brull_IMG_1058.JPG
La Sala (el Brull),El Brull,,Obra popular,"XIII, XVII-XVIII, XIX",41.804329,2.284737,BCIN,745-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/La_Sala_-_El_Brull_CIC_20110928_00699.jpg/218px-La_Sala_-_El_Brull_CIC_20110928_00699.jpg
Muralles de Montgròs (el Brull),El Brull,,,Ferro-ibèric,41.803316,2.273317,BCIN,746-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Muralles_de_Montgròs.jpg/218px-Muralles_de_Montgròs.jpg
Casal d'Alta-riba (Calldetenes),Calldetenes,,Obra popular,XVI-XVII,41.926560,2.312044,BCIN,583-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Casal_d'Alta-riba_(Calldetenes).jpg/218px-Casal_d'Alta-riba_(Calldetenes).jpg
El Portal (Centelles),Centelles,C. Nou,Gòtic tardà,"XVI, XX",41.798085,2.218341,BCIN,676-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/PORTAL_CENTELLES.JPG/218px-PORTAL_CENTELLES.JPG
Vinyoles (Centelles),Centelles,"Crta. de Sant Feliu a Vic, km 17",Obra popular,"XII, XVI, XVIII",41.795647,2.206623,BCIN,677-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Centelles_amb_el_mas_Vinyoles.jpg/218px-Centelles_amb_el_mas_Vinyoles.jpg
Palau Comtal (Centelles),Centelles,"Pl. Major, 5",Renaixement,"XVI-XVIII, XIX",41.797490,2.219371,BCIN,1929-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Centelles-PalauComtal-RI51-0007299-4689.jpg/218px-Centelles-PalauComtal-RI51-0007299-4689.jpg
El Castellet (Folgueroles),Folgueroles,,,,41.930565,2.346278,BCIN,853-MH,
Torre Morgades (Folgueroles),Folgueroles,,Obra popular,XVI,41.939870,2.293177,BCIN,854-MH,"http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Torre_d'en_Morgadès_(Folgueroles,_Osona,_Catalunya).jpg/218px-Torre_d'en_Morgadès_(Folgueroles,_Osona,_Catalunya).jpg"
Castell de Gurb,Gurb,,,Medieval,41.952078,2.210422,BCIN,935-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Castell_de_Gurb_-_amb_la_creu.jpg/218px-Castell_de_Gurb_-_amb_la_creu.jpg
